FULL NAME,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Fred VanVleet,52,36.5,76.1,23.9,9.1,191,0.885,394,0.416,476,0.366,0.489,0.534,19.6,4.2,6.4,6.3,26.7,1.67,0.71,1.83,8.8,112.4,111
Freddie Gillespie,20,19.6,40.8,12.2,10.9,33,0.697,84,0.524,0,0,0.524,0.563,5.6,4.9,13.6,0.5,3.2,0.65,1.05,0.6,4.9,119.5,105
Furkan Korkmaz,55,19.3,40.2,20.5,9.1,82,0.732,155,0.445,269,0.375,0.52,0.544,9.1,2.1,5.9,1.5,11.1,0.89,0.16,0.84,6.3,107.7,106
Gabe Vincent,50,13.1,27.3,19.1,12.3,23,0.87,84,0.5,149,0.309,0.476,0.498,4.8,1.1,4.9,1.3,15.1,0.42,0.04,0.68,5.8,97.8,103
Gabriel Deck,10,21.2,44.1,16.6,7.3,22,0.818,52,0.577,15,0.133,0.493,0.548,8.4,4,9.8,2.4,17.3,0.8,0,0.6,8.2,121,113.1
Garrett Temple,56,27.3,56.9,13,12.4,50,0.8,181,0.503,200,0.335,0.503,0.525,7.6,2.8,5.8,2.2,10.5,0.77,0.52,1.02,5.3,105,108.4
Garrison Mathews,64,16.2,33.8,11.5,3.5,95,0.884,39,0.538,198,0.384,0.57,0.635,5.5,1.4,4.4,0.4,3.1,0.45,0.11,0.16,3.6,129.4,107.7
Gary Clark,35,18.2,37.9,10.3,11.2,10,0.8,23,0.391,108,0.287,0.424,0.439,3.4,3.2,9.1,0.9,6.4,0.34,0.2,0.49,4.7,96.9,112.9
Gary Harris,20,24.9,52,20.2,9.9,48,0.875,123,0.366,66,0.364,0.429,0.485,10.2,1.6,3.3,2.3,14.1,0.55,0.3,1.15,5.4,99.4,113
Gary Trent Jr.,41,30.8,64.1,20.1,5.3,75,0.773,219,0.438,305,0.397,0.53,0.55,15,2.2,3.9,1.4,6.7,0.9,0.15,0.76,4.7,112,116.4
George Hill,14,26.3,54.9,16.5,8.4,25,0.84,63,0.619,57,0.386,0.6,0.63,11.8,2.1,4.1,3.1,18.2,0.86,0.14,0.86,6.5,126.6,116
Georges Niang,72,16,33.4,17.4,10.9,23,0.957,113,0.469,292,0.425,0.59,0.602,6.9,2.4,8.1,0.8,7.3,0.36,0.1,0.71,5.9,113.7,101.5
Giannis Antetokounmpo,61,33,68.7,32.5,13.2,581,0.685,879,0.636,221,0.303,0.6,0.633,28.1,11,17.5,5.9,28.7,1.18,1.21,3.39,14.8,121.1,102.2
Glenn Robinson III,23,16.1,33.5,14,9.2,23,0.913,55,0.473,44,0.364,0.505,0.554,5.3,2,6.8,0.9,7,0.17,0.13,0.48,5.3,112.1,116.8
Goga Bitadze,45,12.5,26,18,7.1,61,0.738,115,0.548,79,0.253,0.479,0.523,5.1,3.3,14.5,0.8,8.9,0.2,1.33,0.38,7.6,115.3,99.4
Goran Dragic,50,26.7,55.7,24.5,16.4,122,0.828,310,0.481,244,0.373,0.515,0.553,13.4,3.3,7.2,4.4,25.9,0.66,0.14,2.38,8.7,104.2,106.6
Gordon Hayward,44,34,70.8,23.9,11,185,0.843,453,0.499,205,0.415,0.537,0.584,19.6,5.9,9.3,4.1,19.5,1.18,0.32,2.07,9.2,113.9,110.7
Gorgui Dieng,22,16.9,35.2,16.9,14.8,43,0.884,60,0.55,48,0.479,0.625,0.682,7.9,4.5,14,1.3,10.6,0.77,0.64,1,8.5,126.8,102.2
Grant Williams,63,18.1,37.6,12.3,17.2,51,0.588,118,0.508,129,0.372,0.534,0.546,4.7,2.8,8.7,1,7.4,0.51,0.37,0.89,5.2,104,101.9
Grayson Allen,50,25.2,52.5,16.8,9.6,91,0.868,140,0.471,274,0.391,0.547,0.586,10.6,3.2,6.7,2.2,11.5,0.92,0.16,0.96,6.7,115.3,109.9
Hamidou Diallo,32,23.8,49.5,22.5,12.1,132,0.629,256,0.512,41,0.293,0.502,0.536,11.9,5.2,11.3,2.4,16.4,0.97,0.38,1.53,8.9,105.8,104.3
Harrison Barnes,58,36.3,75.5,17.2,11.1,235,0.83,386,0.567,256,0.391,0.575,0.626,16.1,6.6,10.2,3.5,13,0.74,0.19,1.6,7.9,122.3,117.4
Harry Giles III,38,9.2,19.1,15.9,15.5,27,0.593,74,0.459,23,0.348,0.474,0.496,2.8,3.5,20.4,0.8,11.3,0.21,0.34,0.53,8.6,105.8,98.5
Hassan Whiteside,36,15.2,31.6,23.5,13.4,79,0.519,223,0.565,1,0,0.563,0.566,8.1,6,21.9,0.6,5.6,0.25,1.28,1.11,8.1,106.8,103.2
Iman Shumpert,2,5.5,11.5,19.8,20,0,0,1,1,3,0,0.25,0.25,1,0.5,5,0,0,0.5,0,0.5,0,55.9,117.4
Immanuel Quickley,64,19.4,40.5,25.6,8.1,174,0.891,277,0.401,303,0.389,0.497,0.557,11.4,2.1,6,2,16.2,0.47,0.19,0.91,7.5,113.4,103.9
Isaac Bonga,40,10.8,22.5,10.2,20.7,8,0.625,34,0.5,47,0.277,0.451,0.461,2,1.7,8.1,0.6,6.5,0.28,0.23,0.55,4.7,89.4,102.2
Isaac Okoro,67,32.4,67.6,14.3,12,157,0.726,345,0.501,214,0.29,0.476,0.514,9.6,3.1,5.3,1.9,8.6,0.93,0.36,1.28,4.7,102.5,110.9
Isaiah Hartenstein,30,9.1,18.9,18.7,18,36,0.611,80,0.513,0,0,0.513,0.543,3.5,2.8,17.7,0.5,7.4,0.37,0.67,0.7,7.5,108.6,90.1
Isaiah Joe,41,9.3,19.5,17.4,7.1,24,0.75,27,0.333,106,0.368,0.508,0.533,3.7,0.9,5.2,0.5,7.2,0.29,0.1,0.27,5.1,107.7,104.2
Isaiah Roby,61,23.4,48.7,17.7,19,117,0.744,320,0.547,109,0.294,0.52,0.555,8.7,5.6,12.4,1.8,11.4,0.85,0.61,1.85,7.6,101.4,103.8
Isaiah Stewart,68,21.4,44.6,15.5,13,92,0.696,346,0.592,63,0.333,0.578,0.597,7.9,6.7,17.3,0.9,6.3,0.56,1.26,0.99,6.8,117,100.8
Isaiah Thomas,3,16.1,33.5,29.5,17.7,2,1,15,0.4,12,0.25,0.389,0.412,7.7,1.3,4.5,1.7,15,0.33,0,2,6.4,78.1,112.5
Ish Smith,44,21,43.7,15.8,11.6,33,0.576,248,0.448,49,0.367,0.465,0.473,6.7,3.4,8.6,3.9,24.7,0.73,0.3,0.93,8.5,105.1,109.1
Ivica Zubac,72,22.3,46.5,15.2,14.7,171,0.789,390,0.656,4,0.25,0.654,0.693,9,7.2,18.1,1.3,7.9,0.33,0.86,1.13,7.9,134.5,101
Ja Morant,63,32.6,67.9,27.2,15.3,372,0.728,716,0.499,241,0.303,0.487,0.537,19.1,4,6.5,7.4,33.5,0.9,0.21,3.22,10.1,107.6,112.5
Jabari Parker,10,13.8,28.8,18.9,11.5,13,0.769,38,0.632,10,0.2,0.563,0.596,6.4,3.6,14.5,1,10.8,0.1,0.4,0.7,8.2,117.6,109.7
Jaden McDaniels,63,24,50,12,10.8,45,0.6,169,0.544,198,0.364,0.545,0.552,6.8,3.7,8.3,1.1,6.4,0.56,0.95,0.75,5,107.7,108
Jae Crowder,60,27.5,57.2,15.7,9.5,75,0.76,112,0.455,380,0.389,0.555,0.574,10.1,4.7,9.7,2.1,10,0.82,0.43,0.92,6.7,112.9,106.4
Jae'Sean Tate,70,29.2,60.8,16.4,12.5,147,0.694,431,0.594,195,0.308,0.553,0.575,11.3,5.3,9.8,2.5,13.2,1.21,0.51,1.41,7.3,113.9,107.1
Jahlil Okafor,27,12.9,26.8,16.7,15.8,24,0.708,92,0.663,9,0.222,0.634,0.65,5.4,2.4,10.4,0.5,6.1,0.22,0.19,0.78,5.8,113.7,105.2
Jahmi'us Ramsey,13,7.3,15.1,19.7,6.9,5,1,19,0.526,19,0.263,0.461,0.498,3.1,0.8,5.9,0.5,8.7,0.31,0.08,0.23,5.9,102,112.7
JaKarr Sampson,29,10.9,22.7,18.9,10.7,29,0.655,98,0.541,15,0.2,0.509,0.533,4.6,2.7,13.2,0.1,1.8,0.07,0.48,0.52,3.9,103.7,100.5
Jake Layman,45,13.9,29,15.1,11.5,37,0.703,106,0.642,78,0.295,0.557,0.577,5.1,1.5,5.8,0.6,6.4,0.64,0.42,0.58,4.8,107,112.2
Jakob Poeltl,69,26.7,55.7,13.4,14.8,124,0.508,430,0.616,0,0,0.616,0.612,8.6,7.9,15.8,1.9,10.1,0.68,1.78,1.22,7.6,123.1,105.3
Jalen Brunson,68,25,52,20.2,10.3,151,0.795,427,0.578,200,0.405,0.588,0.618,12.6,3.4,7.5,3.5,21.3,0.51,0.01,1.18,8.5,123,110.7
Jalen Harris,13,13.2,27.6,22.6,15.6,9,0.778,36,0.528,36,0.472,0.618,0.632,7.4,1.4,5.8,1.3,16,0.62,0,1.08,7.2,109.9,108.5
Jalen McDaniels,47,19.2,40.1,17,12.6,64,0.703,179,0.547,105,0.333,0.53,0.554,7.4,3.6,10.1,1.1,8.6,0.6,0.4,0.96,6.4,106.5,105
Jalen Smith,27,5.8,12,17.2,11.7,7,0.714,33,0.545,17,0.235,0.48,0.499,2,1.4,13.5,0.1,3.4,0.04,0.19,0.26,4.5,96.2,103.7
Jamal Murray,48,35.5,73.9,24.7,11.1,153,0.869,476,0.523,316,0.408,0.559,0.592,21.2,4,6.5,4.8,20.3,1.33,0.27,2.23,8.4,116.2,111.1
James Ennis III,41,24.1,50.1,13.9,11.6,87,0.805,139,0.504,104,0.433,0.566,0.613,8.4,4,8.7,1.5,9.3,0.78,0.17,0.9,6.1,119.4,108.5
James Harden,36,36.6,76.3,28.4,16.7,263,0.856,337,0.552,262,0.366,0.551,0.619,24.6,8.6,12.9,10.9,43.8,1.28,0.75,3.97,14.4,122.4,107.8
James Johnson,29,17.4,36.2,16.2,14.6,29,0.586,85,0.612,60,0.25,0.514,0.526,5.7,3,9.4,1.7,13.7,0.83,0.79,0.93,7.1,104.1,102.1
James Wiseman,39,21.4,44.7,23.8,12.9,86,0.628,330,0.542,38,0.316,0.535,0.552,11.5,5.8,14.4,0.7,4.9,0.28,0.92,1.54,6.7,99.5,98.3
JaMychal Green,58,19.3,40.2,17.6,11.7,57,0.807,176,0.534,198,0.399,0.568,0.59,8.1,4.8,14,0.9,6.4,0.45,0.38,0.91,6.8,115.2,101.5
Jared Dudley,12,6.7,14,5.9,18.2,0,0,3,0,6,0.333,0.333,0.333,0.5,1.8,14.6,0.4,7.6,0.08,0.08,0.17,4.2,93.2,100.7
Jaren Jackson Jr.,11,23.5,48.9,25.9,9.5,42,0.833,65,0.554,60,0.283,0.492,0.551,14.4,5.6,12.7,1.1,6.8,1.09,1.64,1.36,7.6,108.5,95.8
Jarred Vanderbilt,64,17.8,37.1,12.3,15.9,102,0.559,231,0.615,5,0.2,0.608,0.612,5.4,5.8,17.5,1.2,9.3,1,0.73,0.83,7.5,120.6,104
Jarrell Brantley,28,4.9,10.3,19,13.1,2,1,24,0.542,28,0.429,0.596,0.605,2.3,1,10.4,0.5,16.1,0.25,0.07,0.29,8.6,119.8,97.3
Jarrett Allen,12,26.6,55.5,15.5,19.3,61,0.754,65,0.677,0,0,0.677,0.73,11.2,10.4,21.6,1.7,8.3,0.58,1.58,1.83,8.8,134.4,106.6
Jarrett Allen,51,30.3,63.1,16.8,13.1,229,0.69,398,0.623,19,0.316,0.616,0.649,13.2,9.9,18.3,1.7,8.8,0.47,1.41,1.53,8,124.4,111.2
Jarrett Culver,34,14.7,30.6,18.2,12.9,48,0.604,115,0.487,53,0.245,0.449,0.476,5.3,3.1,11.3,0.7,6.8,0.5,0.26,0.82,6.1,95.3,106.6
JaVale McGee,13,13.5,28.1,21.7,17.2,12,0.667,63,0.508,4,0,0.478,0.498,5.5,5.3,22.3,0.5,4.8,0.23,1.08,1.15,7.2,97.3,87.2
JaVale McGee,33,15.2,31.8,24.6,15.8,55,0.655,195,0.549,20,0.25,0.533,0.554,8,5.2,18.9,1,11.4,0.48,1.21,1.36,9.1,102.8,97.8
Javonte Green,25,13.8,28.8,12.1,13.4,30,0.667,49,0.653,22,0.318,0.599,0.624,4.2,2.1,8.4,0.4,4.3,0.72,0.08,0.52,4.4,119.4,106.5
Jaxson Hayes,60,16.1,33.5,16.2,10.5,120,0.775,266,0.635,14,0.429,0.636,0.675,7.5,4.3,14.5,0.6,5.2,0.42,0.63,0.65,6.7,130.6,105
Jaylen Brown,58,34.5,71.8,29.7,11.5,250,0.764,701,0.535,410,0.398,0.558,0.586,24.7,6,9.7,3.4,16.5,1.24,0.55,2.72,9.2,111.6,107.3
Jaylen Hoard,19,16.8,35,16.3,13.8,41,0.683,77,0.571,11,0,0.5,0.547,6.1,3.4,10.6,1.3,11.2,0.68,0.26,0.89,7.1,108.8,110.4
Jaylen Nowell,42,18.1,37.6,21.4,7.2,55,0.818,185,0.497,150,0.333,0.499,0.528,9,2.3,6.8,1.5,12.5,0.52,0.29,0.67,6.9,106.8,110.3
Jayson Tatum,64,35.8,74.5,30.8,10.4,340,0.868,833,0.502,485,0.386,0.53,0.576,26.4,7.4,11.5,4.3,20.3,1.17,0.48,2.67,10.5,113.4,109.7
Jeff Green,68,27,56.2,15.6,8.2,161,0.776,280,0.564,250,0.412,0.59,0.624,11,3.9,7.9,1.6,7.8,0.53,0.4,0.79,6.1,121.8,111
Jeff Teague,21,15.9,33.1,17.5,17.9,44,0.864,69,0.507,26,0.385,0.526,0.603,6.6,1.5,4.9,2.8,22.2,0.38,0.24,1.19,7.6,117.8,112.9
Jeff Teague,34,18.1,37.8,17.7,15.4,61,0.836,132,0.394,56,0.464,0.484,0.542,6.9,1.7,5.1,2.1,16.2,0.76,0.21,1.15,6.4,107.4,110.2
Jerami Grant,54,33.9,70.6,28.5,9.1,343,0.845,603,0.473,329,0.35,0.491,0.556,22.3,4.6,7.6,2.8,14.3,0.65,1.07,2.02,7.8,108.8,110
Jeremy Lamb,36,21.3,44.3,18.4,6.6,75,0.947,148,0.459,128,0.406,0.529,0.587,10.1,3.6,9.3,1.5,9.4,0.94,0.64,0.61,7.1,118.8,106.5
Jerome Robinson,17,17.9,37.4,16.7,15.5,20,0.8,53,0.321,42,0.262,0.353,0.4,4.9,2.2,6.6,1.5,10.2,0.71,0.35,1.12,5.7,80.3,106
Jevon Carter,60,11.9,24.9,15,6.6,7,0.571,72,0.528,151,0.371,0.547,0.548,4.1,1.5,7.3,1.2,13,0.48,0.15,0.27,6.5,115.1,106.7
Jimmy Butler,52,33.6,69.9,26.6,10.6,416,0.863,634,0.538,102,0.245,0.514,0.607,21.5,6.9,11.8,7.1,35.1,2.08,0.35,2.1,12.1,127,107.8
JJ Redick,13,11.3,23.5,19.9,16.6,5,0.8,15,0.267,38,0.395,0.5,0.516,4.4,0.9,4.5,0.8,10.3,0.15,0.08,0.85,5.2,93.2,109.6
JJ Redick,31,18.6,38.8,18.9,9.6,47,0.957,74,0.486,140,0.364,0.526,0.575,8.7,1.7,4.9,1.3,9.5,0.29,0.06,0.81,5.8,112.5,112.1
Joe Harris,69,31,64.7,16.2,7.8,63,0.778,263,0.555,444,0.475,0.654,0.663,14.1,3.6,6.4,1.9,8.4,0.68,0.2,0.9,5.9,125.3,111.7
Joe Ingles,67,27.9,58,16.6,16.3,90,0.844,156,0.59,406,0.451,0.652,0.672,12.1,3.6,6.9,4.7,24,0.67,0.18,1.75,8.4,128.2,105.6
Joel Embiid,51,31.1,64.8,35.3,12.2,548,0.859,745,0.541,154,0.377,0.545,0.636,28.5,10.5,18.7,2.8,16.2,0.98,1.35,3.12,12.1,120.8,100.1
John Collins,63,29.3,61.1,22.2,8.9,204,0.833,563,0.615,208,0.399,0.61,0.645,17.6,7.4,13.8,1.2,6.9,0.54,1,1.33,7.4,124.3,104.1
John Konchar,43,13.4,27.9,12.4,10.6,30,0.833,82,0.585,56,0.375,0.576,0.608,4.3,3,11.8,1.1,10.7,0.7,0.21,0.42,7.2,124.5,106.1
John Wall,40,32.2,67.1,31.7,14.7,211,0.749,477,0.449,249,0.317,0.458,0.503,20.6,3.2,5.3,6.9,36.2,1.05,0.78,3.53,9.6,99.3,116.4
Jonas Valanciunas,62,28.3,59,22.4,10.7,203,0.773,685,0.612,57,0.368,0.607,0.636,17.1,12.5,23.4,1.8,10,0.56,0.92,1.61,10.3,124.9,101
Jordan Bone,14,14,29.2,12.6,5.3,0,0,22,0.591,32,0.313,0.519,0.519,4,1.7,6.4,1.3,13.6,0.14,0,0.21,5.9,112.6,113.7
Jordan Clarkson,68,26.7,55.7,29.8,9.2,144,0.896,476,0.523,599,0.347,0.522,0.549,18.4,4,8,2.5,15.3,0.9,0.15,1.69,8.5,108.9,105.2
Jordan McLaughlin,51,18.4,38.3,13.7,16.7,30,0.767,150,0.447,92,0.359,0.481,0.502,5,2.1,6.2,3.8,28,1,0.12,1,7.4,110,114.1
Jordan Nwora,30,9.1,19,26,14.1,25,0.76,73,0.466,62,0.452,0.563,0.586,5.7,2,11.5,0.2,3.6,0.53,0.23,0.8,5.8,101.7,103.6
Jordan Poole,51,19.4,40.4,25,8.8,119,0.882,198,0.545,276,0.351,0.535,0.581,12,1.8,5,1.9,15.4,0.51,0.18,1,7.1,111.2,107.7
Josh Green,39,11.4,23.8,11.9,14.2,23,0.565,68,0.559,25,0.16,0.473,0.49,2.6,2,9.7,0.7,8.3,0.41,0.08,0.44,5.4,105.4,108.2
Josh Hall,21,16,33.3,18.1,17.4,44,0.5,62,0.419,37,0.108,0.323,0.363,4.1,2.8,9.1,1.3,11.6,0.19,0.05,1.19,6.2,73.3,106.3
Josh Hart,47,28.7,59.8,13.5,11.8,89,0.775,150,0.587,193,0.326,0.532,0.568,9.2,8,15.2,2.3,10.5,0.81,0.26,1.09,7.7,115.2,105.7
Josh Jackson,62,25.2,52.4,26.5,15,218,0.729,451,0.486,257,0.3,0.472,0.515,13.4,4.1,9.1,2.3,15.1,0.85,0.76,2.29,8,96.5,103.8
Josh Okogie,59,20.3,42.3,12.1,12.5,108,0.769,146,0.5,108,0.269,0.459,0.524,5.4,2.6,7.1,1.1,7,0.92,0.47,0.73,4.9,108.4,109
Josh Richardson,59,30.3,63.2,18.4,10.6,108,0.917,351,0.501,267,0.33,0.498,0.537,12.1,3.3,6,2.6,12.1,1.03,0.41,1.34,6.2,108.6,109.9
Jrue Holiday,59,32.3,67.3,22.2,12.6,136,0.787,540,0.561,283,0.392,0.57,0.592,17.7,4.5,7.4,6.1,26.3,1.64,0.63,2.15,9.7,119.9,109.2
Juan Toscano-Anderson,53,20.9,43.5,11,21.8,31,0.71,117,0.718,92,0.402,0.667,0.676,5.7,4.4,11.2,2.8,18.1,0.77,0.49,1.17,7.9,120.7,102.4
Juancho Hernangomez,52,17.3,36.1,17.2,7.3,97,0.619,131,0.573,168,0.327,0.527,0.549,7.2,3.9,12.3,0.7,5.6,0.37,0.13,0.52,6.2,110.4,112.7
Julius Randle,71,37.6,78.2,29.3,13.7,429,0.811,933,0.474,389,0.411,0.516,0.567,24.1,10.2,14.7,6,27.2,0.9,0.25,3.38,12.1,110.9,100.3
Justin Holiday,72,30.3,63.2,14,7.5,85,0.788,172,0.494,453,0.382,0.551,0.571,10.5,3.6,6.4,1.7,7.1,1.03,0.57,0.75,5.3,111.3,111.7
Justin Jackson,33,16.5,34.4,20.2,12,35,0.857,101,0.515,111,0.306,0.486,0.519,7.2,2.2,6.8,1.5,14.5,0.45,0.06,0.94,7,101.8,112.4
Justin James,36,8.6,18,19.7,10.6,36,0.583,73,0.521,38,0.368,0.532,0.548,3.9,0.8,5.4,0.6,9.9,0.22,0.08,0.42,5.7,106.1,115.3
Justin Patton,13,19,39.5,13.1,5.3,4,0.75,36,0.556,34,0.265,0.479,0.488,5.4,3.8,10.6,1.1,8.1,0.92,1.08,0.31,5.9,108,102.8
Justise Winslow,26,19.5,40.6,21.9,14.1,35,0.571,156,0.41,54,0.185,0.376,0.395,6.8,4.5,12.3,1.9,13.3,0.58,0.46,1.42,7.9,81.8,104.1
Jusuf Nurkic,37,23.8,49.6,22.3,16,113,0.619,303,0.525,30,0.4,0.532,0.554,11.5,9,20.2,3.4,21.4,1.03,1.08,1.97,11.9,112.7,101.8
Juwan Morgan,29,5.1,10.6,10.9,10.8,7,0.429,17,0.588,13,0.308,0.533,0.529,1.2,1,10.1,0.3,8,0.14,0.03,0.14,5.6,115.6,96.6
Karim Mane,10,8.8,18.4,8.9,16.5,5,0.8,11,0.182,2,0.5,0.269,0.362,1.1,1.4,8.2,0.4,6,0,0.2,0.3,3.9,76.6,106.8
Karl-Anthony Towns,50,33.8,70.4,29.1,13.7,311,0.859,560,0.541,315,0.387,0.555,0.612,24.8,10.6,17,4.5,22.6,0.76,1.14,3.2,12.5,116.4,105.4
Kawhi Leonard,52,34.1,71,28.6,9.2,295,0.885,654,0.557,254,0.398,0.568,0.622,24.8,6.5,10.7,5.2,24.9,1.56,0.4,2.02,11.1,125.4,108.1
Keita Bates-Diop,30,8.2,17,14.8,8.4,21,0.667,50,0.5,17,0.294,0.485,0.518,2.6,1.6,10.7,0.4,6.6,0.37,0.17,0.23,5.8,105.6,109.9
Kelan Martin,35,9.2,19.2,20.9,10.1,10,0.9,78,0.487,60,0.4,0.536,0.551,4.5,2.2,13.1,0.5,7.5,0.29,0.29,0.46,7.4,105.2,104.3
Keldon Johnson,69,28.5,59.4,19.2,9,196,0.74,524,0.531,181,0.331,0.522,0.557,12.8,6,11.1,1.8,8.9,0.58,0.35,1.13,7.3,110.5,108.5
Keljin Blevins,17,4.4,9.2,14.4,20,0,0,12,0.25,8,0.25,0.3,0.3,0.7,0.6,7.1,0.2,6.7,0.12,0,0.29,4,66.2,109.2
Kelly Olynyk,43,26.9,56,17.5,12.3,40,0.775,134,0.634,242,0.318,0.533,0.549,10,6.1,12.9,2.1,11.7,0.93,0.6,1.28,7.5,105.6,101
Kelly Oubre Jr.,55,30.7,63.9,22.1,8,177,0.695,439,0.519,285,0.316,0.501,0.529,15.4,6,10.4,1.3,6.5,1.04,0.76,1.27,6.4,103.3,106.8
Kemba Walker,43,31.8,66.3,26.1,10.6,149,0.899,323,0.486,353,0.36,0.514,0.559,19.3,4,6.9,4.9,23.8,1.12,0.28,2.05,9.1,113.5,112.6
Kendrick Nunn,56,29.5,61.4,20.9,10.5,60,0.933,338,0.583,320,0.381,0.578,0.596,14.6,3.2,6.2,2.6,14.5,0.96,0.25,1.43,6.7,110.6,108.5
Kenrich Williams,66,21.6,45,15.3,14.8,63,0.571,294,0.568,117,0.444,0.596,0.599,8,4.1,9.9,2.3,16.4,0.86,0.26,1.15,7.8,115.4,106.2
Kent Bazemore,67,19.9,41.5,16.3,16.1,78,0.692,208,0.486,184,0.408,0.545,0.564,7.2,3.4,9.1,1.6,11.1,1.03,0.49,1.22,6.8,101.3,100.5
Kentavious Caldwell-Pope,67,28.4,59.1,14.2,10.9,112,0.866,211,0.464,293,0.41,0.552,0.59,9.7,2.7,5.3,1.9,9.2,0.93,0.39,1.01,5.2,113.9,105.5
Kenyon Martin Jr.,45,23.7,49.4,15.7,9.7,84,0.714,222,0.572,96,0.365,0.564,0.59,9.3,5.4,12.1,1.1,6.8,0.67,0.91,0.84,6.4,116.7,109.6
Kevin Durant,35,33.1,68.9,31.2,14.5,238,0.882,414,0.577,189,0.45,0.608,0.666,26.9,7.1,11.8,5.6,27.5,0.71,1.29,3.43,12.4,121.4,109.3
Kevin Huerter,69,30.8,64.2,17.2,9.4,64,0.781,345,0.51,386,0.363,0.528,0.541,11.9,3.3,5.9,3.5,16.3,1.19,0.26,1.14,6.7,112.1,108.5
Kevin Knox II,42,11.1,23,16.2,10.1,20,0.8,54,0.389,89,0.393,0.514,0.537,3.9,1.5,7.1,0.5,5.9,0.29,0.14,0.4,5.2,104.2,104.6
Kevin Love,25,24.9,51.9,21.9,12.2,51,0.824,96,0.479,156,0.365,0.522,0.556,12.2,7.4,16.7,2.5,16,0.64,0.08,1.52,9.8,107.4,110.2
Kevin Porter Jr.,26,32.1,66.9,25.4,18.2,94,0.734,206,0.515,161,0.311,0.493,0.528,16.6,3.8,6.3,6.3,31.2,0.73,0.31,3.5,9.2,100.7,112.8
Kevon Looney,61,19,39.6,9.4,14.5,48,0.646,180,0.578,17,0.235,0.558,0.575,4.1,5.3,14.7,1.9,13.3,0.36,0.36,0.61,7.3,129.7,101.9
Khem Birch,48,19.8,41.3,12.2,8.5,85,0.741,188,0.479,21,0.19,0.459,0.517,5.3,5.1,13.2,1.1,8,0.67,0.58,0.48,6.3,119.5,109.8
Khris Middleton,68,33.4,69.5,25,13.1,236,0.898,709,0.508,365,0.414,0.546,0.588,20.4,6,9.4,5.4,23.2,1.09,0.15,2.6,10.4,115.5,107.1
Khyri Thomas,5,30.6,63.7,21.1,7.9,9,1,39,0.59,27,0.333,0.553,0.586,16.4,3.6,6.3,5,26.9,1.8,1.2,1.2,8.7,122.8,113.3
Killian Hayes,26,25.8,53.7,19,28.5,17,0.824,129,0.395,72,0.278,0.403,0.422,6.8,2.7,5.7,5.3,29.7,1.04,0.38,3.19,7.1,81.5,107.5
Killian Tillie,18,10.1,21,14.8,3.1,11,0.818,24,0.375,33,0.303,0.421,0.461,3.2,1.3,7,0.4,5.6,0.28,0.44,0.11,4.7,103.4,104.9
Kira Lewis Jr.,54,16.7,34.9,18.3,8.6,51,0.843,217,0.415,120,0.333,0.445,0.477,6.4,1.3,4.3,2.3,18.7,0.7,0.19,0.63,6.4,105.1,107.3
Kostas Antetokounmpo,15,3.7,7.8,20.8,41.2,13,0.462,10,0.3,0,0,0.3,0.382,0.8,1.3,19.1,0.1,2.3,0.13,0.27,0.73,5.1,56,100
Kristaps Porzingis,43,30.9,64.3,26.5,6.4,138,0.855,425,0.536,258,0.376,0.547,0.582,20.1,8.9,15.8,1.6,8.4,0.47,1.35,1.19,8.5,116.7,105.3
Kyle Anderson,69,27.4,57,18.5,10.4,184,0.783,397,0.539,261,0.36,0.54,0.578,12.4,5.7,11.1,3.6,18.3,1.22,0.83,1.25,9.3,117.2,106.7
Kyle Guy,31,7.6,15.8,19.7,10.2,20,0.8,42,0.381,46,0.283,0.403,0.449,2.8,1.1,8.3,1,17.8,0.19,0,0.35,7.7,98.5,112.5
Kyle Kuzma,68,28.7,59.9,20.3,12.4,97,0.691,377,0.525,380,0.361,0.533,0.546,12.9,6.1,12,1.9,9.8,0.5,0.6,1.66,7.4,104.8,104.3
Kyle Lowry,46,34.8,72.5,21.4,15.9,160,0.875,265,0.487,331,0.396,0.546,0.593,17.2,5.3,8.4,7.3,31.8,1.02,0.26,2.74,10,116.9,108
Kyrie Irving,54,34.9,72.8,30.3,9.8,218,0.922,708,0.561,378,0.402,0.576,0.614,26.9,4.8,7.5,6,28.6,1.41,0.69,2.39,10.5,121,109.3
KZ Okpala,37,12.1,25.2,11.9,12.8,15,0.533,46,0.522,50,0.24,0.438,0.448,2.5,1.8,8.7,0.5,5.8,0.27,0.3,0.41,4.3,94,101.3
Lamar Stevens,40,12.5,26,15.9,12.7,51,0.725,111,0.523,25,0.16,0.471,0.521,4.1,2.4,10.7,0.6,7.5,0.43,0.33,0.58,5.8,103,106
LaMarcus Aldridge,21,25.9,54,22.7,7,37,0.838,173,0.509,75,0.36,0.518,0.545,13.7,4.5,9.2,1.7,10.2,0.38,0.86,0.95,7.3,107.3,110
LaMelo Ball,51,28.8,60,26.1,16.3,165,0.758,411,0.489,261,0.352,0.504,0.539,15.7,5.9,11.1,6.1,33.9,1.59,0.35,2.84,11.5,107.3,104.2
